id	nombre_titular	apellido_titular	número_cuenta	tipo_cuenta	 saldo_actual 	fecha_ultimo_movimiento	fecha_apertura	sucursal	ciudad_sucursal	Numero días inactivo	Cliente	 Valor UVR FECHA 	 SALDO UVR 	Es reportable?	
1	Ulysses	Sawrey	123308825	ahorros	" 97,317 "	6/13/2025	10/16/2018	RICHMOND	Bauchi	16.00	Activo	 391 	 249 	No	
2	Moise	Matus	53202130	ahorros	" 35,823 "	6/13/2020	4/29/2016	WALHALLA	Pasargunung	1842.00	Inactivo	 276 	 130 	Si	
3	Nicol	Kerrane	101902298	ahorros	" 164,323 "	1/7/2020	4/22/2017	SIOUX FALLS	San Rafael Oriente	2000.00	Inactivo	 271 	 607 	No	
4	Barn	Sambell	83901744	ahorros	" 178,850 "	7/26/2022	9/6/2017	BIRMINGHAM	Victoria	1069.00	Inactivo	 311 	 575 	No	
5	Dianemarie	Deniseau	51409210	ahorros	" 109,913 "	9/24/2022	1/2/2016	ELIZABETH CITY	Qilin	1009.00	Inactivo	 316 	 348 	No	
6	Marcella	Everingham	91909217	ahorros	" 209,675 "	9/2/2020	6/11/2018	ROSEMOUNT	Viana	1761.00	Inactivo	 275 	 764 	No	
7	Kari	Jewess	42207308	ahorros	" 216,364 "	5/28/2022	4/9/2017	NEWARK	Caraballeda	1128.00	Inactivo	 306 	 708 	No	
8	Flin	Cocozza	61104877	ahorros	" 176,662 "	7/20/2024	8/16/2016	NORCROSS	Taimaman	344.00	Activo	 374 	 472 	No	
9	Minnnie	Jeandon	84309125	corriente	" 12,576 "	6/1/2025	9/21/2016	PARIS	S?popol	28.00	Activo	 390 	 32 	No	
10	Reggie	Amyes	71909062	ahorros	" 115,394 "	2/9/2024	5/1/2017	ROSEMONT	Chernyanka	506.00	Inactivo	 360 	 321 	Si	
11	Leupold	Darragh	107005254	ahorros	" 129,166 "	6/8/2021	6/23/2016	LAKEWOOD	Xinhua	1482.00	Inactivo	 282 	 459 	No	
12	Dorine	Lambregts	122239322	corriente	" 84,050 "	5/3/2025	4/17/2016	CARLSBAD	Urasqui	57.00	Activo	 388 	 217 	No	
13	Rita	Wraighte	75918295	ahorros	" 119,494 "	9/29/2020	1/26/2018	BOSOBEL	São José de Ribamar	1734.00	Inactivo	 275 	 435 	No	
14	Orren	Wilkie	107006431	corriente	" 110,643 "	2/13/2025	12/24/2016	LAKEWOOD	Bezhta	136.00	Activo	 379 	 292 	No	
15	Emlyn	Gulliver	61309229	ahorros	" 212,456 "	9/7/2021	4/22/2016	NASHVILLE	Nangewer	1391.00	Inactivo	 285 	 745 	No	
16	Winifred	Collister	64201120	ahorros	" 90,311 "	12/9/2024	9/16/2018	ROSSVILLE	Kh?gy???	202.00	Activo	 376 	 240 	No	
17	Erma	Leirmonth	65201064	ahorros	" 122,569 "	7/6/2023	10/10/2017	RICHMOND	Oklahoma City	724.00	Inactivo	 348 	 352 	No	
18	Carolee	Heine	61103153	corriente	" 141,078 "	7/25/2021	2/21/2016	BUFORD	Var?m?n	1435.00	Inactivo	 285 	 496 	No	
19	Catina	Kirimaa	21213397	corriente	" 68,657 "	1/15/2021	7/13/2016	MONTEBELLO	Agrela	1626.00	Inactivo	 275 	 250 	Si	
20	Berna	Gillman	53102117	ahorros	" 83,693 "	8/28/2023	12/12/2018	HERMITAGE	Otra Banda	671.00	Inactivo	 351 	 239 	Si	
21	Lida	Wivell	84303008	corriente	" 33,374 "	4/17/2023	10/1/2017	PARSONS	Calauan	804.00	Inactivo	 341 	 98 	Si	
22	Jacky	Kipping	31302803	corriente	" 208,272 "	4/21/2025	8/18/2016	ALBANY	Huangtan	69.00	Activo	 387 	 538 	No	
23	Adi	Theakston	11001962	corriente	" 40,017 "	11/17/2021	7/30/2018	ROSEMEAD	Aksakovo	1320.00	Inactivo	 288 	 139 	Si	
24	Hobard	Bosdet	111304064	corriente	" 50,735 "	2/23/2023	3/28/2018	KINGFISHER	Nantes	857.00	Inactivo	 331 	 153 	Si	
25	Netti	Chapleo	122187335	ahorros	" 55,999 "	5/15/2025	12/26/2018	RALEIGH	Tohautu	45.00	Activo	 389 	 144 	No	
26	Mandie	Carlyon	122244731	corriente	" 159,988 "	2/2/2021	11/7/2016	MURRIETTA	Bojonggenteng	1608.00	Inactivo	 275 	 581 	No	
27	Jerald	Byer	74910854	corriente	" 71,557 "	7/17/2024	1/26/2017	LAGRANGE	Mari?ka	347.00	Activo	 374 	 191 	No	
28	Anni	Bohman	64208194	corriente	" 192,324 "	6/22/2021	11/8/2017	RICHMOND	Parakanpanjang	1468.00	Inactivo	 283 	 681 	No	
29	Crosby	Gibard	91916048	ahorros	" 113,147 "	7/16/2024	10/26/2017	GLENCOE	Leceia	348.00	Activo	 374 	 303 	No	
30	Charlena	Izakov	71920656	corriente	" 113,036 "	5/13/2022	8/20/2016	NAPERVILLE	Peukanbada	1143.00	Inactivo	 304 	 372 	No	
31	Abbe	Cattermole	67013700	ahorros	" 46,116 "	7/20/2022	2/21/2017	CINCINNATI	Lengkongbarang	1075.00	Inactivo	 311 	 148 	Si	
